"class","description","subclasses","hit_points_level_1","hit_points_per_level","key_abilities","spellcasting_ability","saving_throw_proficiencies","equipment_proficiencies","skill_proficiency_choices","skill_proficiencies","starting_equipment","multiclass_proficiencies","source_url"
"Barbarian","The strong embrace the wild that hides inside - keen instincts, primal physicality, and most of all, an unbridled, unquenchable rage.","Berserker; Giant; Wild Magic; Wildheart","12 + Constitution modifier","7 + Constitution modifier","Strength for improved attack rolls and damage with melee weapons.; Dexterity for higher initiative and Armour Class; Constitution for more hit points and unarmoured Armour Class.","Charisma for the effective use of actions, items, scrolls, and equipment.","Strength, Constitution","Simple weapons, Martial weapons; Light armour, Medium armour; Shields","2","Animal Handling, Athletics, Intimidation, Nature, Survival, Perception","Greataxe, Handaxe x2, Barbarian Clothes, Leather Boots","Simple weapons, Martial weapons; Shields","https://bg3.wiki/wiki/Barbarian"
"Bard","Bards know music is more than idle fancy - it is power. Through study and adventure, these travelling troubadours master song, speech, and the magic within.","College of Glamour; College of Lore; College of Swords; College of Valour","8 + Constitution modifier","5 + Constitution modifier","Charisma for improved spell's DC and Attack Rolls with spells.; Constitution for more Hit Points and better Concentration checks.; Dexterity for higher Initiative and Armour Class.","Charisma","Dexterity, Charisma","Simple weapons, Hand Crossbows, Rapiers, Longswords, Shortswords; Light armour","3","History, Insight, Medicine, Persuasion, Religion, Deception, Intimidation, Performance, Acrobatics, Sleight of Hand, Stealth, Animal Handling, Arcana, Investigation, Athletics, Nature, Perception, Survival; You receive a bonus to every Skill that you are Proficient in. At character level 1 the Proficiency Bonus is +2.","Hand Crossbow, Simple Jerkin, Leather Boots, an Instrument chosen during character creation","Light armour","https://bg3.wiki/wiki/Bard"
"Cleric","Clerics are representatives of the gods they worship, wielding potent divine magic for good or ill.","Death Domain; Knowledge Domain; Life Domain; Light Domain; Nature Domain; Tempest Domain; Trickery Domain; War Domain","8 + Constitution modifier","5 + Constitution modifier","Wisdom for Spells; Constitution for Hit Points and Concentration checks; Dexterity for Armour Class.","Wisdom","Wisdom, Charisma","Simple weapons, Flails, Morningstars; Light armour, Medium armour; Shields","2","History, Insight, Medicine, Persuasion, Religion; You receive a bonus to every skill that you are proficient in. At character level 1, this proficiency bonus is +2.","Mace, Chain Shirt, Studded Shield, Leather Boots","Flails, Morningstars; Light armour, Medium armour; Shields","https://bg3.wiki/wiki/Cleric"
"Druid","Druids channel the elemental forces of nature and share a deep kinship with animals. Mastery of Wild Shape allows them to transform into beasts from all over the Realms.","Circle of the Land; Circle of the Moon; Circle of the Spores; Circle of the Stars","8 + Constitution modifier","5 + Constitution modifier","Wisdom for spells; Constitution for hit points and Concentration checks; Dexterity for Armour Class","Wisdom","Intelligence, Wisdom","Clubs, Daggers, Javelins, Maces; Quarterstaves, Scimitars, Sickles, Spears; Light armour, Medium armour; Shields","2","Arcana, Animal Handling, Insight, Medicine, Nature, Perception, Religion, Survival; You receive a bonus to every Skill that you are Proficient in. At character level 1 the Proficiency Bonus is +2.","Druid Quarterstaff, Druid Leather Armour, Grovetender Boots","Light armour, Medium armour; Shields","https://bg3.wiki/wiki/Druid"
"Fighter","Fighters have mastered the art of combat, wielding weapons with unmatched skill and wearing armour like a second skin.","Arcane Archer; Battle Master; Champion; Eldritch Knight","10 + Constitution Modifier","6 + Constitution Modifier","Strength for physical attacks.; Dexterity for physical attacks with Finesse and Ranged weapons, Armour Class (non- Heavy armour), and Initiative.; Constitution for Hit Points (and Concentration Checks for Eldritch Knights).; Intelligence for Spells (Eldritch Knight and Arcane Archer).","Intelligence for the effective use of items, scrolls, and equipment.","Strength, Constitution","Simple weapons, Martial weapons; Light armour, Medium armour, Heavy armour; Shields","2","Acrobatics, Animal Handling, Athletics, History, Insight, Intimidation, Perception, Survival; You receive a bonus to every Skill that you are Proficient in. At character level 1 the Proficiency Bonus is +2.","Longsword, Scale Mail, Leather Boots","Simple weapons, Martial weapons; Light armour, Medium armour; Shields","https://bg3.wiki/wiki/Fighter"
"Monk","Some reach enlightenment by languid meditation - others do so in the heat of battle. Monks manipulate ki to empower their own strikes and debilitate their foes.","Way of the Drunken Master; Way of the Four Elements; Way of the Open Hand; Way of Shadow","8 + Constitution modifier","5 + Constitution modifier","","Wisdom for the effective use of items, scrolls, and equipment.; Most Monk features use the associated weapon ability (e.g., the better of Strength or Dexterity). However, Way of the Four Elements Monks use their spellcasting ability for their unique class features other than Fangs of the Fire Snake[1] and Water Whip.","Strength, Dexterity","Simple weapons, Shortswords","2","History, Insight, Religion, Acrobatics, Stealth, Athletics; You receive a bonus to every Skill that you are Proficient in. At character level 1 the Proficiency Bonus is +2.","Quarterstaff, Monastic Robes, Monastic Boots","Simple weapons, Shortswords","https://bg3.wiki/wiki/Monk"
"Paladin","A promise made so deeply that it becomes divine in itself flows through a paladin, burning bright enough to inspire allies and smite foes.","Oath of the Ancients; Oath of Devotion; Oath of Vengeance; Oath of the Crown; Oathbreaker","10 + Constitution modifier","6 + Constitution modifier","Strength or Dexterity for physical attacks; Charisma for Spells, Aura and Channel Oath Abilities; Constitution for Hit Points and Concentration Checks.","Charisma","Wisdom, Charisma","Simple weapons, Martial weapons; Light armour, Medium armour, Heavy armour; Shields","2","Athletics, Insight, Intimidation, Medicine, Persuasion, Religion; You receive a bonus to every Skill that you are Proficient in. At character level 1 the Proficiency Bonus is +2.","Warhammer, Wooden Shield, Javelin x2, Scale Mail of the Ancients or Scale Mail of Devotion or Scale Mail of Vengeance or Scale Mail of the Crown, Leather Boots and Paladin Oaths and their Tenets","Simple weapons, Martial weapons; Light armour, Medium armour; Shields","https://bg3.wiki/wiki/Paladin"
"Ranger","Rangers are unrivalled scouts and trackers, honing a deep connection with nature in order to hunt their favoured prey.","Beast Master; Gloom Stalker; Hunter; Swarmkeeper","10 + Constitution modifier","6 + Constitution modifier","Dexterity (or Strength) for physical attacks; Constitution for Hit Points and Concentration Checks; Wisdom for Spells.","Wisdom","Strength, Dexterity","Simple weapons, Martial weapons; Light armour, Medium armour; Shields","3","Animal Handling, Athletics, Insight, Investigation, Nature, Perception, Stealth, Survival; You receive a bonus to every Skill that you are Proficient in. At character level 1 the Proficiency Bonus is +2.","Shortbow, Leather Armour (green variant), Leather Boots, Arrow of Ice","Simple weapons, Martial weapons; Light armour, Medium armour; Shields","https://bg3.wiki/wiki/Ranger"
"Rogue","With stealth, skill, and uncanny reflexes, rogues' versatility lets them get the upper hand in almost any situation.","Arcane Trickster; Assassin; Swashbuckler; Thief","8 + Constitution modifier","5 + Constitution modifier","Dexterity for physical attacks and Armour Class; Constitution for Hit Points; Intelligence for Spells (Arcane Trickster only); Charisma for ""dirty trick"" abilities (Swashbuckler only), (exception for sand toss)","Intelligence for the effective use of items, scrolls, and equipment.","Dexterity, Intelligence","Simple weapons, Hand Crossbows, Longswords, Rapiers, Shortswords; Light armour","4","Acrobatics, Athletics, Deception, Insight, Intimidation, Investigation, Perception, Performance, Persuasion, Sleight of Hand, Stealth; You receive a bonus to every Skill that you are Proficient in. At character level 1 the Proficiency Bonus is +2.","Shortsword, Leather Armour (purple variant), Leather Boots, Thieves' Tools, Grease Bottle x2","Light armour","https://bg3.wiki/wiki/Rogue"
"Sorcerer","Sorcerers are natural spellcasters, drawing on inherent magic from a gift or bloodline.","Draconic Bloodline; Shadow Magic; Storm Sorcery; Wild Magic","6 + Constitution modifier","4 + Constitution modifier","Charisma for Spells; Constitution for Hit Points and Concentration Checks; Dexterity for Armour Class","Charisma","Constitution, Charisma","Daggers, Quarterstaves, Light Crossbows","2","Arcana, Deception, Insight, Intimidation, Persuasion, Religion; You receive a bonus to every Skill that you are Proficient in. At character level 1 the Proficiency Bonus is +2.","Quarterstaff, Sorcerer Robe (variant depends on subclass), Simple Boots","Daggers, Quarterstaves","https://bg3.wiki/wiki/Sorcerer"
"Warlock","Bound by a pact to an all-powerful patron, warlocks trade their loyalty for supernatural abilities and unique magic.","The Archfey; The Fiend; The Great Old One; The Hexblade","8 + Constitution modifier","5 + Constitution modifier","Charisma for Spells; Constitution for Hit Points and Concentration; Dexterity for Armour Class","Charisma","Wisdom, Charisma","Simple weapons; Light armour","2","Arcana, Deception, History, Intimidation, Investigation, Religion; You receive a bonus to every Skill that you are Proficient in. At character level 1, the Proficiency Bonus is +2.","Padded Armour, Dagger, Simple Boots","Simple weapons; Light armour","https://bg3.wiki/wiki/Warlock"
"Wizard","Wizards master the arcane by specialising in individual schools of magic, combining ancient spells with modern research.","Abjuration School; Bladesinging; Conjuration School; Divination School; Enchantment School; Evocation School; Illusion School; Necromancy School; Transmutation School","6 + Constitution modifier","4 + Constitution modifier","Intelligence for Spells; Constitution for Hit Points and Concentration checks; Dexterity for Armour Class","Intelligence","Intelligence, Wisdom","Daggers, Quarterstaves, Light Crossbows","2","Arcana, History, Investigation, Insight, Medicine, Religion; You receive a bonus to every Skill that you are Proficient in. At character level 1 the Proficiency Bonus is +2.","Quarterstaff, Simple Robe (green variant), Simple Boots","Daggers, Quarterstaves, Light Crossbows","https://bg3.wiki/wiki/Wizard"
