"level","proficiency_bonus","class_features","spells_known","spell_slots_1","spell_slots_2","spell_slots_3","beast_master","gloom_stalker","hunter","swarmkeeper","source_url"
"1","+2","Favoured Enemy, Natural Explorer","-","-","-","-","","","","","https://bg3.wiki/wiki/Ranger"
"2","+2","Fighting Style, Spellcasting","2","2","-","-","","","","","https://bg3.wiki/wiki/Ranger"
"3","+2","Choose a subclass","3","3","-","-","Ranger's Companion ; Bear Companion; Boar Companion; Dire Raven Companion; Wolf Companion; Wolf Spider Companion","Dread Ambusher; Dread Ambusher: Hide; Superior Darkvision; Umbral Shroud; Gain a free spell (always prepared): ; Disguise Self","Hunter’s Prey (Choose 1): ; Colossus Slayer; Giant Killer; Horde Breaker","Prey's Scent ; Gathered Swarm (Choose 1): ; Cloud of Jellyfish; Flurry of Moths; Legion of Bees; Gain two free spells (always prepared): ; Faerie Fire; Mage Hand","https://bg3.wiki/wiki/Ranger"
"4","+2","Feat","3","3","-","-","","","","","https://bg3.wiki/wiki/Ranger"
"5","+3","Extra Attack, Subclass Feature","4","4","2","-","Companion's Bond","Gain a free spell (always prepared): ; Misty Step","","Gain a free spell (always prepared): ; Web","https://bg3.wiki/wiki/Ranger"
"6","+3","Favoured Enemy, Natural Explorer","4","4","2","-","","","","","https://bg3.wiki/wiki/Ranger"
"7","+3","Subclass Feature","5","4","3","-","Exceptional Training","Iron Mind","Defensive Tactics (Choose 1): ; Escape the Horde; Steel Will; Multiattack Defence","Writhing Tide","https://bg3.wiki/wiki/Ranger"
"8","+3","Feat, Land's Stride: Difficult Terrain","5","4","3","-","","","","","https://bg3.wiki/wiki/Ranger"
"9","+4","-","6","4","3","2","","Gain a free spell (always prepared) ; Fear","","Gain a free spell (always prepared) ; Gaseous Form","https://bg3.wiki/wiki/Ranger"
"10","+4","Favoured Enemy, Natural Explorer, Hide in Plain Sight","6","4","3","2","","","","","https://bg3.wiki/wiki/Ranger"
"11","+4","Subclass Feature","7","4","3","3","Bestial Fury","Stalker's Flurry","Volley; Whirlwind Attack","Mighty Swarm","https://bg3.wiki/wiki/Ranger"
"12","+4","Feat","7","4","3","4","","","","","https://bg3.wiki/wiki/Ranger"
