"item","rarity","enchantment","damage","damage_type","weight_kg","price_gp","shared_properties","shared_action","special","where_to_find","source_url"
"Githyanki Shortsword","Common","","1d6","Piercing","0.9","16","One-Handed; Melee: 1.5 m (5 ft); Finesse; Light; Dippable","Flourish","","Crèche Y'llek: On weapon racks and equipped by numerous Githyanki; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Shortswords"
"Practice Sword","Common","","1d4","Bludgeoning","0.6","1","One-Handed; Melee: 1.5 m (5 ft); Finesse; Light; Dippable","Flourish","","Emerald Grove: 4x - in The Hollow where Wyll is helping train the tiefling children; Crèche Y'llek: 1x - in the infirmary in training area; Reithwin Town: 2x - in the House of Healing; Arfur's Mansion X: 37 Y: -65: 1x on the ground floor, past the double doors and hanging on the wall","https://bg3.wiki/wiki/Shortswords"
"Rusty Shortsword","Common","","1d6","Piercing","0.9","2","One-Handed; Melee: 1.5 m (5 ft); Finesse; Light; Dippable","Flourish","","Rosymorn Monastery: Stuck in a skeleton's head next to the enchanted door; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Shortswords"
"Shortsword","Common","","1d6","Piercing","0.9","16","One-Handed; Melee: 1.5 m (5 ft); Finesse; Light; Dippable","Flourish","","Starting equipment for Rogues; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Shortswords"
"Trepan","Common","","1d6","Piercing","0.9","16","One-Handed; Melee: 1.5 m (5 ft); Finesse; Light; Dippable","Flourish","","House of Healing: Carried by an undead nurse","https://bg3.wiki/wiki/Shortswords"
"Chessa's Practice Sword","Common","","1d4","Bludgeoning","0.6","1","One-Handed; Melee: 1.5 m (5 ft); Finesse; Light; Dippable","Flourish","","Gur Camp X: 106 Y: -29: In a wooden chest, alongside Kass' Practice Sword","https://bg3.wiki/wiki/Shortswords"
"Harper Blade","Common","","1d6","Piercing","0.9","16","One-Handed; Melee: 1.5 m (5 ft); Finesse; Light; Dippable","Flourish","","Shadow-Cursed Lands X: 58 Y: 132: Carried by Harper Yonas","https://bg3.wiki/wiki/Shortswords"
"Kass' Practice Sword","Common","","1d4","Bludgeoning","0.6","1","One-Handed; Melee: 1.5 m (5 ft); Finesse; Light; Dippable","Flourish","","Gur Camp X: 106 Y: -29: In a wooden chest, alongside Chessa's Practice Sword","https://bg3.wiki/wiki/Shortswords"
"Shortsword (Yurgir)","Common","","2d4","Piercing","0.9","16","One-Handed; Melee: 1.5 m (5 ft); Finesse; Light; Dippable","Flourish","Not usable by humanoids.","Carried by Yurgir","https://bg3.wiki/wiki/Shortswords"
"Assassin's Shortsword","Uncommon","+1","1d6 + 1","Piercing","0.9","65","One-Handed; Melee: 1.5 m (5 ft); Finesse; Light; Dippable","Flourish","Advantage on Stealth Checks.","Reithwin Town X: -252 Y: 36: on one of a pair of skeletons along the cliffs west of the House of Healing","https://bg3.wiki/wiki/Shortswords"
"Githyanki Shortsword (+1)","Uncommon","+1","1d6 + 1","Piercing","0.9","40","One-Handed; Melee: 1.5 m (5 ft); Finesse; Light; Dippable","Flourish","","Crèche Y'llek: Carried by numerous Githyanki; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Shortswords"
"Render of Mind and Body","Uncommon","+1","1d6 + 1","Piercing","0.9","65","One-Handed; Melee: 1.5 m (5 ft); Finesse; Light; Dippable","Flourish","Psychic Steel Virtuoso; When the wielder attacks with Advantage, they deal an additional 1d8 Psychic.","Moonrise Towers X: -164 Y: -167: Sold by Lann Tarv on the main floor","https://bg3.wiki/wiki/Shortswords"
"Shadow Blade (weapon)","Uncommon","","2d8","Psychic","0.9","65","One-Handed; Melee: 1.5 m (5 ft); Finesse; Light; Dippable","Flourish","Shadow Blade; You have Advantage on Attack Rolls against Lightly or Heavily Obscured targets when using this blade.","Created via Shadow Blade spell","https://bg3.wiki/wiki/Shortswords"
"Shortsword +1","Uncommon","+1","1d6 + 1","Piercing","0.9","40","One-Handed; Melee: 1.5 m (5 ft); Finesse; Light; Dippable","Flourish","","Sold by any trader using the magic melee table","https://bg3.wiki/wiki/Shortswords"
"Shortsword of First Blood","Uncommon","","1d6","Piercing","0.9","65","One-Handed; Melee: 1.5 m (5 ft); Finesse; Light; Dippable","Flourish","Break the Unbroken; Deals an additional 1d8 Piercing to targets that still have all their hit points.","Underdark X: 73 Y: -187: On the corpse of an executed Deep Gnome, at the entrance of the Decrepit Village, if approaching from the Myconid Colony","https://bg3.wiki/wiki/Shortswords"
"Steelforged Sword","Uncommon","+1","1d6 + 1","Piercing","0.9","60","One-Handed; Melee: 1.5 m (5 ft); Finesse; Light; Dippable","Flourish","","Blighted Village X: -435 Y: -371: In Sampson's locked chest in the Blacksmith's Forge; High Hall X: 235 Y: 44: On a table of goods, owned by Koll; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Shortswords"
"Trepan (+1)","Uncommon","+1","1d6 + 1","Piercing","0.9","16","One-Handed; Melee: 1.5 m (5 ft); Finesse; Light; Dippable","Flourish","Trephination; Make a burr hole into an enemy's skull and possibly knock them Prone. ( Recharge: Short rest.)","House of Healing X: -201 Y: 50: Carried by Sister Vanessa","https://bg3.wiki/wiki/Shortswords"
"Ambusher","Rare","+1","1d6 + 1","Piercing","0.9","190","One-Handed; Melee: 1.5 m (5 ft); Finesse; Light; Dippable","Flourish","Sentinel Weapon; Gain a +1 bonus to Initiative rolls and Advantage on Perception Ability Checks.; Ambusher's Streak; In combat, you deal an additional 1d6 Necrotic damage against creatures that haven't taken a turn yet.","Rivington General X: 7 Y: -35: Sold by Exxvikyap in Rivington during Act Three","https://bg3.wiki/wiki/Shortswords"
"Fleshrender","Rare","+2","1d6 + 2","Piercing","0.9","190","One-Handed; Melee: 1.5 m (5 ft); Finesse; Light; Dippable","Flourish","Part the Flesh; Thrust forward with diabolical precision, possibly stymying your target's ability to heal. ( Recharge: Short rest.)","Murder Tribunal X: -1263 Y: 511: Sold by Echo of Abazigal","https://bg3.wiki/wiki/Shortswords"
"Shortsword +2","Rare","+2","1d6 + 2","Piercing","0.9","95","One-Handed; Melee: 1.5 m (5 ft); Finesse; Light; Dippable","Flourish","","Sold by various traders depending on the party's level; In the locked strongbox in the basement of Peartree House; Carried by the Assassin's Folly in the final fight Atop the Netherbrain if a rogue is in the party; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Shortswords"
"Slicing Shortsword","Rare","+1","1d6 + 1","Piercing","0.9","190","One-Handed; Melee: 1.5 m (5 ft); Finesse; Light; Dippable","Flourish","Deepflesh Slice; When the wielder attacks with Advantage, the attack inflicts Bleeding.","Moonrise Towers X: -164 Y: -167: Sold by Lann Tarv on the main floor","https://bg3.wiki/wiki/Shortswords"
"Sword of Clutching Umbra","Rare","+1","1d6 + 1","Piercing","0.9","190","One-Handed; Melee: 1.5 m (5 ft); Finesse; Light; Dippable","Flourish","Shadowsoaked Blow; Strike an enemy, adding your proficiency bonus to the damage. Moreover, if the attack hits, it deals an additional 1d6 Psychic damage. This attack doesn't break concealment. ( Recharge: Short rest.)","Last Light Inn X: -33 Y: 164: Sold by Dammon","https://bg3.wiki/wiki/Shortswords"
"The Baneful","Rare","+1","1d6 + 1","Piercing","0.9","190","One-Handed; Melee: 1.5 m (5 ft); Finesse; Light; Dippable","Flourish","Favoured Weapon; This weapon has a +1 bonus to damage and Attack rolls.; Baneful Bond; On a hit, possibly Bane your target.","Ebonlake Grotto X: 111 Y: -89: Sold by Blurg","https://bg3.wiki/wiki/Shortswords"
"Knife of the Undermountain King","Very Rare","+2","1d6 + 2","Piercing","0.9","480","One-Handed; Melee: 1.5 m (5 ft); Finesse; Light; Dippable","Flourish","Organ Rearranger; Reduce the number you need to roll a Critical Hit while attacking by 1. This effect can stack. When you roll 2 damage or less, reroll the dice, taking the highest result.; Shadow Blade; You have Advantage on Attack Rolls against Lightly or Heavily Obscured targets when using this blade.","Crèche Y'llek X: 1380 Y: -798: Sold by A'jak'nir Jeera","https://bg3.wiki/wiki/Shortswords"
"Sword of Life Stealing","Very Rare","+2","1d6 + 2","Piercing","0.9","480","One-Handed; Melee: 1.5 m (5 ft); Finesse; Light; Dippable","Flourish","Life Stealing Critical; On a Critical Hit, the target takes an extra 10 NecroticDRS damage as long as it isn't a construct or an undead. You also gain 10 temporary hit points.","Last Light Inn X: -33 Y: 164: Sold by Dammon","https://bg3.wiki/wiki/Shortswords"
"Crimson Mischief","Legendary","+2","1d6 + 2; 1d4","Piercing; Necrotic","0.9","640","One-Handed; Melee: 1.5 m (5 ft); Finesse; Light; Dippable","Flourish","Prey Upon the Weak; This weapon deals an additional 1d4 Piercing damage against targets with 50% of their hit points or fewer.; Main hand only:Redvein Savagery; When you make an attack with Advantage, the target takes an additional 7 PiercingDRS damage.; Off-hand only:Crimson Weapon; When you make an attack with your off-hand weapon, you can add your Ability Modifier to the damage of the attack.","Bhaal Temple X: 61 Y: 1004: Carried by Orin during the quest Get Orin's Netherstone","https://bg3.wiki/wiki/Shortswords"
